"timestamp","pCut::Motor_Torque","pCut::CTRL_Position_controller::Lag_error","pCut::CTRL_Position_controller::Actual_position","pCut::CTRL_Position_controller::Actual_speed","pSvolFilm::CTRL_Position_controller::Actual_position","pSvolFilm::CTRL_Position_controller::Actual_speed","pSvolFilm::CTRL_Position_controller::Lag_error","pSpintor::VAX_speed","Month","Date","Hours","Minutes","Seconds","Sample Number","Mode"
"5.6759996","-0.0730893","-0.00666809","29390996","2533.72192382","75840307","2524.28759765","0.85273057","1499.99975585","12","25","16","38","49","512","1"
"5.6799996","-0.04392228","-0.00924682","29391006","2564.6208496","75840317","2509.18725585","0.90099233","1499.99975585","12","25","16","38","49","512","1"
"5.6839996","0.04987629","-0.05410766","29391016","2530.28857421","75840327","2541.90527343","0.90294605","1499.99975585","12","25","16","38","49","512","1"
"5.6879996","-0.08850585","-0.00376701","29391026","2475.35693359","75840338","2531.8383789","0.90288829","1499.99975585","12","25","16","38","49","512","1"
"5.6919996","0.01256998","-0.01379013","29391036","2485.65673828","75840348","2536.87158203","0.89074838","1499.99975585","12","25","16","38","49","512","1"
"5.6959996","0.02156644","-0.0194168","29391046","2454.75756835","75840358","2541.90502929","0.91384279","1499.99975585","12","25","16","38","49","512","1"
"5.6999996","-0.14494989","0.02568817","29391055","2420.42529296","75840368","2524.28784179","0.87150204","1499.99975585","12","25","16","38","49","512","1"
"5.7039996","-0.13851612","0.02418899","29391065","2351.76074218","75840378","2554.48876953","0.82916122","1499.99975585","12","25","16","38","49","512","1"
"5.7079996","-0.01272071","-0.00773239","29391074","2358.62719726","75840388","2536.87133789","0.85930258","1499.99975585","12","25","16","38","49","512","1"
"5.7119996","-0.06905718","0.00378799","29391084","2351.76074218","75840398","2499.12060546","0.82400852","1499.99975585","12","25","16","38","49","512","1"
"5.7159996","-0.10144325","0.00490379","29391093","2307.12890625","75840409","2524.28808593","0.87327694","1499.99975585","12","25","16","38","49","512","1"
"5.7199996","-0.07566509","0.00769042","29391102","2300.26245117","75840419","2514.22094726","0.88729411","1499.99975585","12","25","16","38","49","512","1"
"5.7239996","-0.14839027","0.02011299","29391111","2265.93017578","75840429","2569.58911132","0.88320964","1499.99975585","12","25","16","38","49","512","1"
"5.7279996","-0.04912082","-0.01852798","29391120","2214.43164062","75840439","2531.83813476","0.87710988","1499.99975585","12","25","16","38","49","512","1"
"5.7319996","-0.05251456","-0.00824737","29391129","2217.86499023","75840449","2511.70410156","0.89718419","1499.99975585","12","25","16","38","49","512","1"
"5.7359996","-0.07153308","-0.00149345","29391138","2183.53271484","75840459","2536.87158203","0.93739247","1499.99975585","12","25","16","38","49","512","1"
"5.7399996","-0.03097926","-0.00538635","29391147","2190.39916992","75840469","2541.90502929","0.92726588","1499.99975585","12","25","16","38","49","512","1"
"5.7439996","-0.1526554","0.01277732","29391155","2104.56835937","75840480","2549.45532226","0.87787818","1499.99975585","12","25","16","38","49","512","1"
"5.7479996","0.0515623","-0.03787803","29391164","2114.86816406","75840490","2521.77099609","0.90600603","1499.99975585","12","25","16","38","49","512","1"
"5.7519996","-0.01208462","-0.02026939","29391172","2080.53588867","75840500","2524.28784179","0.89487469","1499.99975585","12","25","16","38","49","512","1"
"5.7559996","-0.02055633","-0.00603866","29391180","2077.10253906","75840510","2562.03881835","0.85756742","1499.99975585","12","25","16","38","49","512","1"
"5.7599996","-0.1175768","0.01144981","29391188","1991.27197265","75840520","2536.87158203","0.90180242","1499.99975585","12","25","16","38","49","512","1"
"5.7639996","-0.02937239","-0.00197601","29391197","2022.1710205","75840530","2499.12036132","0.88865584","1499.99975585","12","25","16","38","49","512","1"
"5.7679996","-0.10883937","0.02235031","29391204","1977.5390625","75840540","2544.42163085","0.91879707","1499.99975585","12","25","16","38","49","512","1"
"5.7719996","-0.21451026","0.04317283","29391212","1946.64001464","75840551","2506.67065429","0.88249635","1499.99975585","12","25","16","38","49","512","1"
"5.7759996","-0.11208786","0.00658416","29391220","1926.04064941","75840561","2554.48876953","0.88143008","1499.99975585","12","25","16","38","49","512","1"
"5.7799996","-0.09539049","-0.00646972","29391228","1884.84191894","75840571","2534.35473632","0.91157132","1499.99975585","12","25","16","38","49","512","1"
"5.7839996","-0.08221285","-0.00416564","29391235","1898.5748291","75840581","2526.80444335","0.87325733","1499.99975585","12","25","16","38","49","512","1"
"5.7879996","-0.03264848","-0.0192871","29391243","1843.64318847","75840591","2526.80444335","0.88729345","1499.99975585","12","25","16","38","49","512","1"
"5.7919996","-0.03982909","-0.01494026","29391250","1812.74414062","75840601","2536.87158203","0.89428073","1499.99975585","12","25","16","38","49","512","1"
"5.7959996","-0.14502738","0.0238018","29391257","1799.01123046","75840611","2557.00537109","0.86200684","1499.99975585","12","25","16","38","49","512","1"
"5.7999996","-0.11018183","0.01161956","29391264","1781.84509277","75840622","2551.97192382","0.84181332","1499.99975585","12","25","16","38","49","512","1"
"5.8039996","-0.08236565","0.00738906","29391271","1754.37927246","75840632","2514.22070312","0.80651938","1499.99975585","12","25","16","38","49","512","1"
"5.8079996","-0.19253206","0.02056503","29391278","1696.01440429","75840642","2544.42163085","0.78129243","1499.99975585","12","25","16","38","49","512","1"
"5.8119996","-0.15851852","0.0084114","29391285","1689.14794921","75840652","2526.8046875","0.83660101","1499.99975585","12","25","16","38","49","512","1"
"5.81599959","-0.11738961","0.00236129","29391292","1682.28149414","75840662","2521.77099609","0.79023545","1499.99975585","12","25","16","38","49","512","1"
"5.81999959","-0.04450895","-0.02488327","29391299","1651.38244628","75840672","2536.87158203","0.82339674","1499.99975585","12","25","16","38","49","512","1"
"5.82399959","0.06038797","-0.05107116","29391305","1627.34985351","75840682","2501.63696289","0.85756486","1499.99975585","12","25","16","38","49","512","1"
"5.82799959","-0.06748256","-0.00916671","29391311","1568.98498535","75840692","2559.52221679","0.86455208","1499.99975585","12","25","16","38","49","512","1"
"5.83199959","-0.05450457","-0.01039886","29391318","1544.95239257","75840703","2526.8046875","0.89066648","1499.99975585","12","25","16","38","49","512","1"
"5.83599959","-0.14691174","0.01772689","29391324","1510.62011718","75840713","2509.18725585","0.88054001","1499.99975585","12","25","16","38","49","512","1"
"5.83999959","-0.07135619","-0.00300598","29391330","1500.32043457","75840723","2519.25463867","0.92477488","1499.99975585","12","25","16","38","49","512","1"
"5.84399959","-0.03213994","-0.00013351","29391336","1486.58752441","75840733","2541.90502929","0.89854133","1499.99975585","12","25","16","38","49","512","1"
"5.84799959","-0.04799994","0.00476455","29391342","1459.1217041","75840743","2549.45532226","0.83002644","1499.99975585","12","25","16","38","49","512","1"
"5.85199959","-0.1266435","0.02972412","29391348","1438.52233886","75840753","2524.28784179","0.86922985","1499.99975585","12","25","16","38","49","512","1"
"5.85599959","-0.17287659","0.03756332","29391353","1411.05651855","75840763","2526.80444335","0.85104984","1499.99975585","12","25","16","38","49","512","1"
"5.85999959","-0.21350191","0.04604339","29391359","1390.45715332","75840774","2557.00512695","0.81575584","1499.99975585","12","25","16","38","49","512","1"
"5.86399959","-0.24663388","0.03996276","29391364","1352.69165039","75840784","2546.93847656","0.80059576","1499.99975585","12","25","16","38","49","512","1"
"5.86799959","-0.22516262","0.02336502","29391370","1332.09228515","75840794","2499.12036132","0.81160986","1499.99975585","12","25","16","38","49","512","1"
"5.87199959","-0.1301569","-0.01482391","29391375","1287.46032714","75840804","2539.38842773","0.86993849","1499.99975585","12","25","16","38","49","512","1"
"5.87599959","-0.09051255","-0.02660751","29391380","1277.16064453","75840814","2516.73779296","0.83665806","1499.99975585","12","25","16","38","49","512","1"
"5.87999959","-0.12028128","-0.00931167","29391385","1211.92932128","75840824","2572.10595703","0.83156687","1499.99975585","12","25","16","38","49","512","1"
"5.88399959","-0.13604119","-0.00259017","29391390","1201.62963867","75840834","2524.28784179","0.84761446","1499.99975585","12","25","16","38","49","512","1"
"5.88799959","-0.11596609","-0.00445175","29391395","1191.32995605","75840844","2516.73779296","0.85963517","1499.99975585","12","25","16","38","49","512","1"
"5.89199959","-0.06891618","-0.01540184","29391399","1181.03027343","75840855","2519.25415039","0.89682328","1499.99975585","12","25","16","38","49","512","1"
"5.89599959","-0.04600112","-0.02540588","29391404","1143.2647705","75840865","2529.32128906","0.91790425","1499.99975585","12","25","16","38","49","512","1"
"5.89999959","-0.03172174","-0.0212593","29391408","1122.66540527","75840875","2562.0390625","0.89368391","1499.99975585","12","25","16","38","49","512","1"
"5.90399959","-0.10931032","0.00458335","29391413","1060.86730957","75840885","2531.83789062","0.91375827","1499.99975585","12","25","16","38","49","512","1"
"5.90799959","-0.10970845","0.00836563","29391417","1047.13439941","75840895","2526.8046875","0.87745767","1499.99975585","12","25","16","38","49","512","1"
"5.91199959","-0.15520022","0.02576637","29391421","1036.83471679","75840905","2524.28784179","0.88746505","1499.99975585","12","25","16","38","49","512","1"
"5.91599959","-0.22106306","0.03479385","29391425","1005.93566894","75840915","2551.97192382","0.92465513","1499.99975585","12","25","16","38","49","512","1"
"5.91999959","-0.14568793","0.00247192","29391429","975.03662109","75840926","2524.28759765","0.86419379","1499.99975585","12","25","16","38","49","512","1"
"5.92399959","-0.08184675","-0.01490402","29391433","947.57080078","75840936","2534.35473632","0.88930141","1499.99975585","12","25","16","38","49","512","1"
"5.92799959","-0.11554219","0.00189018","29391437","933.83789062","75840946","2496.60375976","0.88519811","1499.99975585","12","25","16","38","49","512","1"
"5.93199959","-0.18692915","0.01440048","29391440","882.33947753","75840956","2564.55566406","0.90325903","1499.99975585","12","25","16","38","49","512","1"
"5.93599959","-0.15130783","-0.00345802","29391444","878.90625","75840966","2541.90502929","0.88567364","1499.99975585","12","25","16","38","49","512","1"
"5.93999959","-0.10393235","-0.01184844","29391447","848.00720214","75840976","2526.8046875","0.88199925","1499.99975585","12","25","16","38","49","512","1"
"5.94399959","-0.09635283","-0.01899337","29391451","806.80847167","75840986","2531.83813476","0.91575533","1499.99975585","12","25","16","38","49","512","1"
"5.94799959","-0.0702809","-0.01388359","29391454","786.20910644","75840997","2521.77099609","0.94127696","1499.99975585","12","25","16","38","49","512","1"
"5.95199959","-0.0862919","-0.00610542","29391457","748.44360351","75841007","2574.62255859","0.88543719","1499.99975585","12","25","16","38","49","512","1"
"5.95599959","-0.08527638","-0.00661087","29391460","724.41101074","75841017","2524.28784179","0.88276946","1499.99975585","12","25","16","38","49","512","1"
"5.95999958","-0.0649385","-0.00986862","29391463","710.67810058","75841027","2534.35473632","0.85411041","1499.99975585","12","25","16","38","49","512","1"
"5.96399958","-0.07526811","-0.00622367","29391465","672.91259765","75841037","2529.32128906","0.83332222","1499.99975585","12","25","16","38","49","512","1"
"5.96799958","-0.04704365","-0.01060485","29391468","659.1796875","75841047","2546.93847656","0.85499793","1499.99975585","12","25","16","38","49","512","1"
